Iter 1000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.7676 GB | Max Alloc: 74.3150 GB
Iter 2000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.7676 GB | Max Alloc: 74.3150 GB
Iter 3000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.7676 GB | Max Alloc: 74.3150 GB
Iter 4000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.7676 GB | Max Alloc: 74.3150 GB
Iter 5000: Device cuda | Allocated: 25.3438 GB | Reserved: 86.7676 GB | Max Alloc: 74.3150 GB
Iter 1000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.4219 GB | Max Alloc: 74.3150 GB
Iter 2000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.4219 GB | Max Alloc: 74.3150 GB
Iter 3000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.4219 GB | Max Alloc: 74.3150 GB
Iter 4000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.4219 GB | Max Alloc: 74.3150 GB
Iter 5000: Device cuda | Allocated: 25.3438 GB | Reserved: 86.4219 GB | Max Alloc: 74.3150 GB
Iter 1000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 2000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 3000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 4000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 5000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 6000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 7000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 8000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 9000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 10000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 11000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 12000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 13000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 14000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 15000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 16000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 17000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 18000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 19000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 20000: Device cuda | Allocated: 6.9197 GB | Reserved: 21.8867 GB | Max Alloc: 19.1957 GB
Iter 1000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 2000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 3000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 4000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 5000: Device cuda | Allocated: 6.9197 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 1000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 2000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 3000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 4000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 5000: Device cuda | Allocated: 6.9197 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 1000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 2000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 1000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 2000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 3000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 4000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 5000: Device cuda | Allocated: 6.9197 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 1000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 1000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 2000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 3000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 4000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 5000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 6000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
